foreground,test set,mean auROC,std auROC
all binders,all binders,0.6489037037037036,0.04728876198668572
all binders,high z-score,0.8662666666666666,0.05747861772171372
all binders,low z-score,0.5419777777777778,0.06665424126631314
high z-score,all binders,0.6273950617283951,0.049446091955403705
high z-score,high z-score,0.846888888888889,0.06337673508428693
high z-score,low z-score,0.521,0.06905423479093382
ilir,all binders,0.594595061728395,0.0542552731443624
ilir,high z-score,0.8079999999999999,0.07394466810993217
ilir,low z-score,0.49291666666666667,0.0752565291118441
low z-score,all binders,0.5630123456790124,0.05698117367591019
low z-score,high z-score,0.6251111111111112,0.10696250594490911
low z-score,low z-score,0.5310222222222223,0.06538072904640732
